zahra,390,1,2026-07-07 23:34:14
zahra,600,2,2026-07-08 18:46:21
zahra,280,1,2026-07-08 18:46:49
zahra,240,1,2026-07-08 18:50:29
zahra,330,1,2026-07-08 18:51:52
zahra,200,1,2026-07-08 18:53:58
zahra,695,3,2026-07-08 18:58:48
zahra,5680,8,2026-07-08 19:06:05
zahra,210,8,2026-07-08 19:12:35
zahra,340,1,2026-07-08 19:46:23
zahra,0,1,2026-07-08 21:02:46
zahra,1295,3,2026-07-08 21:17:31
zahra,1610,3,2026-07-08 21:32:10
zahra,200,1,2026-07-17 01:33:00
zahra,1275,3,2026-07-17 01:38:32
zahra,160,1,2026-07-17 01:40:49
zahra,240,1,2026-07-17 01:50:48
